Axis1,Axis2,Axis3,hand,session,datetime,id
0,0,0,dx,ndom,2017-05-23 19:49:31,TD1
0,0,0,dx,ndom,2017-05-23 19:49:32,TD1
0,0,4,dx,ndom,2017-05-23 19:49:33,TD1
0,0,0,dx,ndom,2017-05-23 19:49:34,TD1
0,0,0,dx,ndom,2017-05-23 19:49:35,TD1
0,0,0,dx,ndom,2017-05-23 19:49:36,TD1
0,0,0,dx,ndom,2017-05-23 19:49:37,TD1
0,0,0,dx,ndom,2017-05-23 19:49:38,TD1
0,0,0,dx,ndom,2017-05-23 19:49:39,TD1
0,0,0,dx,ndom,2017-05-23 19:49:40,TD1
0,0,0,dx,ndom,2017-05-23 19:49:41,TD1
